Ullage  (cm.),-1,0,1,2,3,4
685,10939.2,10941.2,10943.1,10945,10946.8,10948.5
690,10903.5,10905.5,10907.4,10909.3,10911.1,10912.8
695,10867.7,10869.8,10871.7,10873.6,10875.4,10877.1
700,10832,10834,10836,10837.8,10839.6,10841.4
705,10796.3,10798.3,10800.3,10802.1,10803.9,10805.7
710,10760.6,10762.6,10764.6,10766.4,10768.2,10769.9
715,10724.9,10726.9,10728.9,10730.7,10732.5,10734.2
720,10689.2,10691.2,10693.2,10695,10696.8,10698.5
725,10653.5,10655.5,10657.5,10659.3,10661.1,10662.8
730,10617.8,10619.8,10621.8,10623.6,10625.4,10627.1
735,10582.1,10584.1,10586,10587.9,10589.7,10591.4
740,10546.4,10548.4,10550.3,10552.2,10554,10555.7
745,10510.7,10512.7,10514.6,10516.5,10518.3,10520
750,10475,10477,10478.9,10480.8,10482.6,10484.3
755,10439.3,10441.3,10443.2,10445.1,10446.9,10448.6
760,10403.6,10405.6,10407.5,10409.4,10411.2,10412.9
765,10367.9,10369.9,10371.8,10373.7,10375.4,10377.1
770,10332.2,10334.2,10336.1,10338,10339.7,10341.4
775,10296.5,10298.5,10300.4,10302.3,10304,10305.7
780,10260.8,10262.8,10264.7,10266.5,10268.3,10270
785,10225,10227.1,10229,10230.8,10232.6,10234.3
790,10189.3,10191.4,10193.3,10195.1,10196.9,10198.6
795,10153.6,10155.6,10157.6,10159.4,10161.2,10162.9
800,10117.9,10119.9,10121.9,10123.7,10125.5,10127.2
805,10082.2,10084.2,10086.2,10088,10089.8,10091.5
810,10046.5,10048.5,10050.5,10052.3,10054.1,10055.8
815,10010.8,10012.8,10014.8,10016.6,10018.4,10020
820,9975.1,9977.1,9979.1,9980.9,9982.7,9984.3
825,9939.4,9941.4,9943.3,9945.2,9947,9948.6
830,9903.7,9905.7,9907.6,9909.5,9911.2,9912.9
835,9868,9870,9871.9,9873.8,9875.5,9877.2
840,9832.3,9834.3,9836.2,9838.1,9839.8,9841.5
845,9796.6,9798.6,9800.5,9802.4,9804.1,9805.8
850,9760.9,9762.9,9764.8,9766.7,9768.4,9770.1
855,9725.2,9727.2,9729.1,9731,9732.7,9734.4
860,9689.5,9691.5,9693.4,9695.2,9697,9698.7
865,9653.8,9655.8,9657.7,9659.5,9661.3,9663
870,9618,9620.1,9622,9623.8,9625.6,9627.2
875,9582.3,9584.4,9586.3,9588.1,9589.9,9591.5
880,9546.6,9548.7,9550.6,9552.4,9554.2,9555.8
885,9510.9,9513,9514.9,9516.7,9518.5,9520.1
890,9475.2,9477.2,9479.2,9481,9482.8,9484.4
895,9439.5,9441.5,9443.5,9445.3,9447,9448.7
900,9403.8,9405.8,9407.8,9409.6,9411.3,9413
905,9368.1,9370.1,9372.1,9373.9,9375.6,9377.3
910,9332.4,9334.4,9336.3,9338.2,9339.9,9341.6
915,9296.7,9298.7,9300.6,9302.5,9304.2,9305.9
920,9261,9263,9264.9,9266.8,9268.5,9270.1
925,9225.3,9227.3,9229.2,9231.1,9232.8,9234.4
930,9189.6,9191.6,9193.5,9195.4,9197.1,9198.7
935,9153.9,9155.9,9157.8,9159.6,9161.4,9163
940,9118.2,9120.2,9122.1,9123.9,9125.7,9127.3
945,9082.5,9084.5,9086.4,9088.2,9090,9091.6
950,9046.8,9048.8,9050.7,9052.5,9054.3,9055.9
955,9011.1,9013.1,9015,9016.8,9018.6,9020.2
960,8975.3,8977.4,8979.3,8981.1,8982.8,8984.5
965,8939.6,8941.7,8943.6,8945.4,8947.1,8948.8
970,8903.9,8906,8907.9,8909.7,8911.4,8913
975,8868.2,8870.3,8872.2,8874,8875.7,8877.3
980,8832.5,8834.5,8836.5,8838.3,8840,8841.6
985,8796.8,8798.8,8800.8,8802.6,8804.3,8805.9
990,8761.1,8763.1,8765.1,8766.9,8768.6,8770.2
995,8725.4,8727.4,8729.4,8731.2,8732.9,8734.5
1000,8689.7,8691.7,8693.6,8695.5,8697.2,8698.8
1005,8654,8656,8657.9,8659.8,8661.5,8663.1
1010,8618.3,8620.3,8622.2,8624.1,8625.8,8627.4
1015,8582.6,8584.6,8586.5,8588.3,8590.1,8591.7
